"","mousename","mouseprice","mouseratings","mousereview"
"1","Amazon Basics 3-Button Wired USB Computer Mouse, Single, Black","$7.27","4.6 out of 5 stars","79,658"
"2","TMKB Falcon M1SE Ultralight Honeycomb Gaming Mouse, High-Precision 12800DPI Optical Sensor, 6 Programmable Buttons, Customizable RGB, Drag-Free Paracord, Ergonomic, Wired - Matte White","$19.99","4.5 out of 5 stars","917"
"3","Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Gray","$29.99","4.5 out of 5 stars","25,736"
"4","Amazon Basics 2.4 Ghz Wireless Optical Computer Mouse with USB Nano Receiver, Black","$13.38","4.5 out of 5 stars","61,081"
"5","TECKNET Wireless Mouse, 2.4G Ergonomic Optical Mouse, Computer Mouse for Laptop, PC, Computer, Chromebook, Notebook, 6 Buttons, 24 Months Battery Life","$14.99","4.5 out of 5 stars","66,171"
"6","Amazon Basics 3-Button Wired USB Computer Mouse, Single, Black","$10.21","4.7 out of 5 stars","1,521"
"7","Amazon Essentials Disney | Marvel | Star Wars Boys and Toddlers' Short-Sleeve Pique Polo Shirts, Pack of 2","$8.99","4.5 out of 5 stars","917"
"8","Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black","$19.99","4.4 out of 5 stars","3,792"
"9","Logitech M170 Wireless Mouse for PC, Mac, Laptop, 2.4 GHz with USB Mini Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous - Rose","$10.99","4.7 out of 5 stars","2,583"
"10","TECKNET Wireless Mouse, 2.4G USB Computer Mouse with 6-Level Adjustable 3200 DPI, 30 Months Battery, Ergonomic Grips, 6 Buttons Portable for PC, Chromebook, Mac - Grey","$19.99","4.6 out of 5 stars","79,658"
"11","seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green","$29.99","4.7 out of 5 stars","119"
"12","FIRSTBLOOD ONLY GAME. AJ52 Watcher RGB Gaming Mouse, Programmable 7 Buttons, Ergonomic LED Backlit USB Gamer Mice Computer Laptop PC, for Windows Mac Linux OS, Star White","$9.99","4.4 out of 5 stars","10,428"
"13","Amazon Basics Ergonomic 2.4 GHz Wireless Optical Mouse, DPI adjustable, Compatible with PC, Mac, Laptop - Black","$11.99","4.5 out of 5 stars","48,585"
"14","Redragon M612 Predator RGB Gaming Mouse, 8000 DPI Wired Optical Gamer Mouse with 11 Programmable Buttons & 5 Backlit Modes, Software Supports DIY Keybinds Rapid Fire Button","$7.27","4.4 out of 5 stars","48,933"
"15","Logitech MX Master 2S Wireless Mouse - Hyper-Fast Scrolling, Ergonomic, Rechargeable, Control 3 Computers, Graphite","$12.40","4.5 out of 5 stars","118,541"
"16","Logitech M510 Wireless Computer Mouse – Comfortable Shape with USB Unifying Receiver, with Back/Forward Buttons and Side-to-Side Scrolling, Dark Gray","$24.24","4.6 out of 5 stars","4,462"
"17","Wired Gaming Mouse [Breathing RGB LED] [Plug Play] High-Precision Adjustable 7200 DPI, 7 Programmable Buttons, Ergonomic Computer USB Mice for Windows/PC/Mac/Laptop Gamer","$29.99","4.4 out of 5 stars","21,213"
"18","Logitech G203 Wired Gaming Mouse, 8,000 DPI, Rainbow Optical Effect LIGHTSYNC RGB, 6 Programmable Buttons, On-Board Memory, Screen Mapping, PC/Mac Computer and Laptop Compatible - Lilac","$9.99","4.6 out of 5 stars","3,398"
"19","Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac","$9.98","4.6 out of 5 stars","16,230"
"20","Microsoft MAIN-35956 Sculpt Ergonomic Mouse (L6V-00001)","$12.99","4.7 out of 5 stars","38,637"
